"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Brice Sensabaugh","Uta","*","F","22.3","49","21.6","22.3","11.3","111","0.847","211","0.588","250","0.344","0.549","0.588","12.2","2.9","1.6","0.7","0.1","1.2","15.2","13.8","16.7","7.1","113.3","118.6"
"","Nic Claxton","Bro","*","C","26.8","48","29.3","17.3","14.1","171","0.614","400","0.595","13","0.154","0.584","0.601","12.2","7.3","4","0.7","1.3","1.4","19.5","16.2","23.5","9.7","127.1","113"
"","Josh Hart","Nyk","*","G","30.9","40","30.4","16.5","18.2","76","0.737","208","0.572","155","0.406","0.588","0.609","12.1","7.6","5.1","1.2","0.3","2","19.7","17.1","24.7","10.2","123.1","106.5"
"","Duncan Robinson","Det","*","F","31.8","49","28.3","15.6","6.9","67","0.746","96","0.552","364","0.401","0.591","0.607","12.1","2.7","1.8","0.7","0.3","0.7","14.8","14","16.6","5.5","124.7","109.5"
"","Jonathan Kuminga","Gol","*","F","23.3","20","23.8","23.9","19.1","66","0.742","141","0.504","53","0.321","0.497","0.543","12.1","5.9","2.5","0.4","0.3","2.3","18","14.6","20.5","9.5","103.6","109.8"
"","Cam Spencer","Mem","*","G","25.8","49","24.2","17.8","15.8","101","0.931","154","0.532","239","0.46","0.628","0.672","12","2.7","5.6","0.7","0.1","1.5","14.7","17.6","20.2","9.4","133.2","114.3"
"","Jaylen Wells","Mem","*","F","22.5","50","26.9","19.1","10.3","131","0.756","242","0.488","264","0.337","0.497","0.534","12","3.5","1.7","0.8","0.1","1.2","15.5","13.8","17.2","6.2","108.4","112.1"
"","Wendell Carter Jr.","Orl","*","C-F","26.8","48","29.6","15.6","12.4","137","0.781","245","0.604","164","0.348","0.571","0.612","12","7.3","2.1","0.8","0.7","1.2","19.3","14","21.3","7.7","125.4","105.1"
"","Rui Hachimura","Lal","*","F","28","40","29.8","15.2","7.6","49","0.735","204","0.559","162","0.438","0.602","0.615","11.9","3.6","0.9","0.5","0.3","0.8","15.5","12.8","16.3","4.5","120","116.8"
"","Tari Eason","Hou","*","F","24.7","28","24.6","19.8","13.4","30","0.633","149","0.45","123","0.488","0.577","0.584","11.9","6.2","1.4","1.3","0.6","1.5","18.1","13.3","19.5","7.6","117.3","105.2"
"","De'Anthony Melton","Gol","*","G","27.7","25","21.4","25","14.2","62","0.806","131","0.557","117","0.282","0.494","0.536","11.8","2.9","2.2","1.5","0.4","1.6","14.7","14","16.9","7.9","104.1","105.1"
