"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Gary Trent Jr.","Mil","*","G","27.1","46","24","15.5","7","41","0.78","91","0.451","252","0.365","0.522","0.54","8.5","1.1","1.5","0.6","0.1","0.6","9.6","10","11.1","4","108.3","119.3"
"","Dominick Barlow","Phi","*","F","22.7","41","24","13.4","11.4","73","0.781","189","0.635","59","0.288","0.587","0.621","8.5","5","1.2","1","0.6","0.8","13.5","9.7","14.8","6.2","131.6","110.2"
"","Simone Fontecchio","Mia","*","F","30.2","50","17.3","19.7","10","73","0.808","105","0.476","245","0.363","0.524","0.557","8.5","3.2","1.5","0.5","0.2","0.8","11.8","10","13.3","8","113.5","108"
"","Ryan Kalkbrenner","Cha","*","C","24.1","40","23.2","11.8","18","78","0.679","184","0.772","2","0","0.763","0.765","8.4","6.1","0.7","0.6","1.6","1","14.5","9.1","15.2","5.7","140.6","110.3"
"","Daniel Gafford","Dal","*","F-C","27.4","35","21.4","14.5","20","90","0.756","176","0.631","0","0","0.631","0.673","8.3","6.7","0.9","0.8","1.3","1.3","14.9","9.2","15.9","6.9","127.4","102.9"
"","Kentavious Caldwell-Pope","Mem","*","G","33","48","21","17.4","14.4","71","0.915","174","0.506","164","0.317","0.491","0.538","8.3","2.4","2.8","0.8","0.2","1.2","10.7","11.1","13.5","7.3","109.7","114.4"
"","Moussa Diabate","Cha","*","F","24","48","25.1","12.1","15.3","133","0.654","243","0.638","1","1","0.641","0.661","8.3","8.5","1.6","0.7","1","0.9","16.9","9.9","18.5","7.7","141.9","106.3"
"","Draymond Green","Gol","*","F","35.9","43","26.6","16.7","27","52","0.712","119","0.563","194","0.32","0.511","0.531","8.3","5.7","5.1","0.8","0.7","2.7","14","13.4","19.1","9.4","102.1","104.1"
"","Jaden Ivey","Det","","G","24","33","16.8","20.2","13.7","38","0.789","107","0.533","113","0.372","0.545","0.57","8.2","2.2","1.6","0.5","0.4","1.1","10.4","9.8","11.9","7.3","112.3","108.3"
"","Daniss Jenkins","Det","*","G","24.5","42","16.8","21.6","16.2","70","0.8","174","0.454","110","0.391","0.505","0.545","8.2","1.8","3.3","0.9","0.2","1.3","10","11.5","13.3","8.7","113.8","107"
"","Bradley Beal","Lac","*","G","32.6","6","20.2","22.3","15.7","8","0.75","29","0.379","19","0.368","0.448","0.476","8.2","0.8","1.7","0.5","0","1.5","9","9.8","10.7","4.4","92.2","112.1"
"","Moritz Wagner","Orl","*","F-C","28.8","10","10.5","29.8","11.9","17","0.882","35","0.514","24","0.417","0.559","0.609","8.1","2.7","0.3","0.4","0","0.8","10.8","8.4","11.1","7.1","112.1","99.1"
"","Ronald Holland II","Det","*","F","20.6","49","20.7","18.7","15.8","99","0.788","220","0.523","131","0.229","0.456","0.504","8.1","4.3","1.4","1.4","0.4","1.3","12.5","9.6","13.9","7.1","102.7","100.9"
"","Day'Ron Sharpe","Bro","*","C","24.3","48","18.3","18.7","23.7","125","0.68","214","0.664","31","0.226","0.622","0.65","8.1","6.6","2.2","1.1","0.4","1.6","14.7","10.4","16.9","10.7","125.4","104.4"
"","Vit Krejci","Por","*","G","25.6","2","18.4","15.8","0","3","1","3","0.667","10","0.3","0.5","0.559","8","0","1","1","1","0","8","9","9","0","129.4","117.6"
"","Vince Williams Jr.","Mem","*","G","25.4","34","21.6","19.5","19.2","46","0.804","105","0.419","159","0.308","0.445","0.478","8","4","4.4","0.8","0.4","1.9","12","12.4","16.4","9.6","103.2","108.6"
"","Collin Murray-Boyles","Tor","*","F","20.7","42","22.5","15","16.1","61","0.639","210","0.595","46","0.348","0.582","0.596","8","5.1","2.1","0.9","0.9","1.2","13.1","10.1","15.2","7.8","123","105.1"
"","Luka Garza","Bos","*","C","27.1","43","16.9","16.1","10.5","75","0.787","143","0.657","70","0.457","0.667","0.697","8","4.3","1.1","0.4","0.5","0.6","12.3","9","13.3","7.9","148.8","102.9"
"","Nikola Jovic","Mia","*","F","22.7","41","18.3","21.6","17.9","95","0.705","139","0.468","155","0.277","0.44","0.485","8","3.6","2.4","0.6","0.4","1.6","11.5","10.3","13.9","9","96.7","107.8"
"","Buddy Hield","Gol","*","G","33.1","44","17.5","19.7","12.3","34","0.794","105","0.6","195","0.344","0.545","0.562","8","2.5","1.5","0.8","0.2","1","10.5","9.5","12","7.1","109.1","110.2"
"","Danny Wolf","Bro","*","F","21.8","36","20","19.6","12.6","50","0.78","138","0.464","125","0.312","0.466","0.498","7.9","4.5","1.9","0.6","0.4","1.1","12.4","9.8","14.3","8.1","105","110.7"
"","Jose Alvarado","Nor","*","G","27.8","41","21.9","15.7","14.4","24","0.833","87","0.54","193","0.363","0.543","0.558","7.9","2.8","3.1","0.9","0.1","1.1","10.7","11","13.8","7.5","112.9","114.5"
"","Luke Kennard","Atl","*","G","29.6","46","20.5","12.7","11.7","35","0.914","91","0.604","149","0.497","0.692","0.713","7.9","2.2","2.1","0.7","0.1","0.7","10.1","10","12.2","6.5","133.6","116.2"
"","Quinten Post","Gol","*","C","25.9","52","17.6","18.7","10","30","0.833","123","0.602","228","0.346","0.548","0.563","7.9","3.9","1.4","0.4","0.5","0.8","11.8","9.3","13.2","8","114","105.5"
"","Cason Wallace","Okc","*","G","22.3","49","26.5","13.5","11.3","38","0.737","152","0.487","193","0.363","0.519","0.534","7.9","3","2.1","2.1","0.2","0.9","10.9","10","13","5.6","110.7","103.3"
"","Quenton Jackson","Ind","*","G","27.4","24","15.3","21.1","16.5","59","0.763","81","0.531","50","0.38","0.546","0.599","7.8","1.8","1.8","0.7","0.2","1.1","9.7","9.7","11.5","7.7","114.4","110.7"
"","Kris Dunn","Lac","*","G","31.9","51","27.3","13.3","18.5","62","0.79","168","0.571","148","0.358","0.555","0.583","7.8","2.9","3.3","1.5","0.2","1.4","10.7","11.1","14","6.2","116.1","112"
"","Caris LeVert","Det","*","G","31.5","34","19.6","18","16.5","54","0.685","114","0.526","108","0.333","0.514","0.539","7.8","1.8","2.9","0.9","0.6","1.3","9.6","10.7","12.5","7","109.6","108.1"
"","Bryce McGowens","Nor","*","G","23.3","30","19.7","14.5","8.6","69","0.754","101","0.505","58","0.448","0.566","0.613","7.7","2","1.4","0.6","0.2","0.5","9.7","9.1","11.1","5.7","126.1","115.2"
"","Bogdan Bogdanovic","Lac","*","G","33.5","17","21.9","18.1","15.3","19","0.842","47","0.447","74","0.324","0.471","0.502","7.6","2.8","2.6","0.5","0.1","1.3","10.4","10.2","13","7","102.4","110.2"
"","Terance Mann","Bro","*","G-F","29.3","43","25.4","13.6","15.6","62","0.823","157","0.529","108","0.343","0.523","0.561","7.6","3.3","3.4","0.7","0.2","1.1","11","11.1","14.4","6.9","120.1","112.8"
"","De'Andre Hunter","Sac","*","F-G","28.2","2","25.5","21.5","17.1","6","0.833","10","0.2","9","0.222","0.263","0.347","7.5","1.5","0.5","0","0","2","9","8","9.5","2.8","67.9","118.7"
"","Bruce Brown","Den","*","G-F","29.5","52","24.7","14.2","14.4","77","0.779","246","0.504","81","0.346","0.508","0.543","7.5","4.1","2.1","1","0.3","1.1","11.6","9.7","13.7","6.5","113.6","110.4"
"","Luke Kornet","San","*","C-F","30.6","41","23.5","10.7","9.1","82","0.793","189","0.64","0","0","0.64","0.682","7.5","6.9","2","0.5","1.2","0.5","14.4","9.4","16.3","8","156.5","106.7"
"","Al Horford","Gol","*","C-F","39.7","31","20.2","16","12.6","18","0.889","66","0.545","134","0.358","0.54","0.558","7.5","4.8","2.3","0.8","1.1","0.9","12.3","9.8","14.6","8.6","116","108.8"
"","Tre Mann","Cha","*","G","25","31","16.3","24.1","15","21","0.857","113","0.407","124","0.323","0.447","0.467","7.4","2.4","2.2","0.5","0.1","1.4","9.8","9.6","12","8.3","98.7","108.3"
"","Precious Achiuwa","Sac","*","F","26.4","45","20.5","15.5","9.9","72","0.542","219","0.548","53","0.302","0.529","0.538","7.3","5.6","1.2","0.8","0.5","0.7","12.8","8.4","14","7.1","116.7","114.5"
"","Justin Champagnie","Was","*","G-F","24.6","47","19","15.1","9.4","60","0.7","173","0.601","97","0.32","0.557","0.579","7.3","5.6","1.1","0.8","0.6","0.6","12.9","8.4","14","7.5","125.5","114.4"
"","Tyrese Martin","Bro","*","F","26.9","37","18.8","18.8","11.4","26","0.731","103","0.476","152","0.336","0.492","0.507","7.3","2.9","1.9","0.6","0.1","0.9","10.2","9.2","12","7.3","106.2","118.4"
"","Bones Hyland","Min","*","G","25.4","44","14.8","19.6","13.3","45","0.711","96","0.594","151","0.377","0.577","0.594","7.2","1.7","2.6","0.6","0.2","0.9","8.9","9.8","11.5","8.6","121.3","106"
"","Kyle Anderson","Uta","*","F-G","32.4","20","20.1","14.7","13.5","38","0.658","104","0.519","5","0.6","0.537","0.565","7.1","3.3","3.1","1.2","0.5","0.9","10.4","10.2","13.5","8.3","121.6","113.6"
"","Tristan Vukcevic","Was","*","F","22.9","31","11.4","26.7","17","73","0.767","97","0.619","64","0.234","0.512","0.572","7.1","2.4","1","0.3","0.7","1.1","9.5","8.2","10.5","9","108.5","112.4"
"","Javonte Green","Det","*","G","32.5","51","18.6","14.7","11.3","81","0.79","117","0.564","150","0.373","0.562","0.601","7.1","2.8","0.7","1.4","0.3","0.7","9.9","7.9","10.6","5.2","120.9","105.5"
"","PJ Hall","Cha","*","C","24","8","15.9","17.4","22.1","17","0.706","33","0.576","2","1","0.629","0.659","7","5.4","0.6","0.1","0.9","1.3","12.4","7.6","13","7.1","124.2","107.6"
"","Seth Curry","Gol","*","G","35.5","2","16.1","11.9","0","0","0","5","0.8","4","0.5","0.778","0.778","7","2","1.5","1","0","0","9","8.5","10.5","6.9","164.1","107.6"
"","Kenrich Williams","Okc","*","G-F","31.2","32","16.3","17.1","11.8","30","0.667","91","0.626","80","0.375","0.596","0.608","7","3.4","1.6","0.6","0.1","0.7","10.4","8.6","12.1","8.3","123","104"
"","Kobe Sanders","Lac","*","G","23.7","43","21.5","15.8","19.5","43","0.814","130","0.508","118","0.381","0.538","0.566","7","2.5","1.7","0.6","0.1","1.4","9.6","8.7","11.2","5.8","104.2","111"
"","Jamal Shead","Tor","*","G","23.5","53","22.3","16.1","17.4","75","0.76","157","0.42","184","0.326","0.457","0.493","7","1.9","5.5","1","0.2","1.4","8.9","12.4","14.4","7.5","111","109.3"
"","Jamaree Bouyea","Pho","*","G","26.6","26","15.5","17.6","9.4","18","0.667","95","0.611","50","0.34","0.576","0.585","6.9","2","1.7","0.7","0.4","0.6","8.8","8.6","10.6","7.4","122.3","113.3"
"","Jaden Hardy","Dal","*","G","23.6","34","12.6","23.4","12.2","40","0.775","70","0.457","124","0.371","0.521","0.551","6.9","1.4","0.9","0.3","0.1","0.8","8.2","7.7","9.1","6.5","104.6","110.3"
"","Andre Drummond","Phi","*","C","32.5","38","19.8","15.3","15.1","62","0.629","158","0.538","49","0.367","0.541","0.561","6.9","8.8","0.8","0.6","0.9","1","15.7","7.7","16.4","7.4","123.9","104.1"
"","Micah Potter","Ind","*","C","27.8","19","17.2","15","12.7","32","0.906","29","0.586","60","0.367","0.562","0.626","6.8","3.8","1.4","0.4","0.3","0.7","10.6","8.2","12","7.7","124.7","111.1"
"","Kevin Love","Uta","*","F-C","37.4","27","17.5","16.8","12.4","33","0.818","48","0.479","107","0.346","0.506","0.543","6.8","5.8","1.8","0.3","0.3","0.8","12.6","8.6","14.4","9.5","118.7","113.9"
"","Walter Clayton Jr.","Uta","","G","22.9","45","18","17.3","18.2","62","0.935","113","0.513","143","0.308","0.484","0.54","6.8","2","3.2","0.5","0.3","1.3","8.8","10","11.9","7.8","109.8","118"
"","Patrick Williams","Chi","*","F","24.5","48","18.9","17.4","13","47","0.702","142","0.366","165","0.382","0.477","0.497","6.8","3","1.2","0.6","0.3","1","9.8","8","11","6.1","98.4","114.6"
"","Will Richard","Gol","*","G","23.1","47","19.4","14","13.5","45","0.822","93","0.667","151","0.351","0.58","0.607","6.8","2.5","1.4","1.2","0.1","0.8","9.3","8.2","10.7","5.9","120.3","108.3"
"","Ryan Nembhard","Dal","*","G","22.9","38","18.8","18","18.3","13","0.769","158","0.456","87","0.379","0.496","0.505","6.7","1.8","4.9","0.3","0","1.4","8.5","11.6","13.4","8.3","106.9","112.6"
"","Brook Lopez","Lac","*","C","37.9","44","17.8","18","11.3","34","0.853","81","0.444","186","0.344","0.494","0.52","6.7","2.7","0.9","0.5","1","0.8","9.4","7.6","10.3","5.7","102.8","110.3"
"","Cole Anthony","Mil","*","G","25.7","35","15","25.8","21.9","26","0.615","159","0.478","72","0.306","0.472","0.483","6.7","2.5","3.5","0.6","0.3","1.9","9.2","10.1","12.6","10.4","96.1","105.7"
"","Nae'Qwan Tomlin","Cle","*","F","25.1","41","17.2","15.4","6.7","51","0.745","140","0.643","83","0.205","0.518","0.548","6.6","3.1","1","0.8","0.7","0.4","9.7","7.5","10.6","6.4","122.3","106.1"
"","Jared McCain","Phi","*","G","22","37","16.8","18.6","11.5","25","0.88","112","0.393","119","0.378","0.483","0.506","6.6","2","1.7","0.6","0.1","0.8","8.6","8.3","10.3","6.7","104","112.2"
"","Sidy Cissoko","Por","*","G","21.9","47","22","13","16.4","73","0.699","94","0.543","155","0.335","0.518","0.55","6.6","2.4","1.5","0.7","0.3","1","8.9","8.1","10.4","5.2","111.8","109.6"
"","Will Riley","Was","*","F","20","42","15.5","18.8","13","60","0.767","137","0.489","96","0.323","0.487","0.526","6.5","2.2","1.4","0.5","0.1","0.8","8.7","7.9","10.1","7","109","121.5"
"","Gradey Dick","Tor","*","G-F","22.2","53","16.1","16.9","9.1","67","0.866","133","0.549","148","0.311","0.505","0.551","6.5","2.2","0.7","0.6","0.1","0.5","8.7","7.1","9.3","5.4","111.7","108.6"
"","Nolan Traore","Bro","*","G","19.7","28","20.1","18.1","18.7","34","0.794","97","0.402","81","0.321","0.438","0.474","6.5","1.5","3","0.4","0.4","1.5","8","9.5","11","6.1","97.1","115.6"
"","Robert Williams III","Por","*","C-F","28.3","36","16.5","12","16.4","26","0.731","123","0.805","14","0.357","0.777","0.781","6.4","6.5","1.1","0.6","1.4","0.8","13","7.6","14.1","8.7","146.3","107.2"
"","Isaiah Jackson","Ind","*","F","24.1","38","16.8","15.9","20.6","74","0.689","164","0.585","1","0","0.582","0.615","6.4","5.6","0.8","0.7","0.8","1.1","11.9","7.2","12.8","7.3","119.9","100.6"
"","Tidjane Salaun","Cha","*","F","20.5","31","16","15.1","14.5","30","0.7","71","0.592","70","0.443","0.628","0.642","6.4","4.4","0.8","0.4","0.2","0.8","10.7","7.2","11.6","7.1","121.5","106.1"
"","Jaxson Hayes","Lal","*","C-F","25.7","41","17.4","11.6","12.6","74","0.649","137","0.774","1","1","0.779","0.771","6.4","3.8","0.8","0.4","0.6","0.5","10.2","7.2","11","6.2","152.2","108.7"
"","Mac McClung","Ind","","G","27.1","3","11.3","27.2","9.8","4","0.75","8","0.625","10","0.2","0.444","0.481","6.3","1.3","0.3","1.7","0.3","0.7","7.7","6.7","8","4.8","89.5","96"
"","Ja'Kobe Walter","Tor","*","G","21.4","43","18.2","14.1","9.6","45","0.8","79","0.595","137","0.343","0.544","0.575","6.3","2.1","0.9","0.9","0.1","0.5","8.4","7.2","9.3","5","116.2","106.7"
"","Dru Smith","Mia","*","G","28.1","52","17.4","15.8","14.6","87","0.839","156","0.481","113","0.31","0.474","0.534","6.3","2.6","2.8","1.5","0.3","0.9","8.9","9.1","11.7","8.2","116.6","105.6"
"","Ben Sheppard","Ind","*","G","24.6","41","21.4","13","9.1","35","0.771","85","0.482","145","0.331","0.491","0.515","6.2","3","1.7","0.5","0.1","0.6","9.2","7.9","10.9","5.9","109.8","113.7"
"","Kris Murray","Por","*","F","25.5","34","25.7","10.4","15","42","0.738","97","0.598","78","0.256","0.503","0.535","6.1","4","1.2","1.2","0.4","0.9","10.1","7.3","11.3","4.8","114.9","112.9"
"","Blake Wesley","Por","*","G","22.9","9","16.9","17.6","19.6","11","0.545","33","0.515","16","0.313","0.5","0.511","6.1","2.1","3.3","1.3","0.1","1.3","8.2","9.4","11.6","8.2","107.9","107.1"
"","Taurean Prince","Mil","*","F","31.9","8","21.1","11.6","11.5","3","1","10","0.5","28","0.429","0.605","0.623","6.1","1.6","1","0.8","0.3","0.6","7.8","7.1","8.8","4.1","113.4","110.2"
"","Drake Powell","Bro","*","G-F","20.4","39","18.9","14.7","16.6","47","0.894","95","0.579","95","0.295","0.511","0.56","6.1","1.6","1.6","0.5","0.1","1","7.7","7.6","9.3","5.3","108.2","116.1"
"","Alex Caruso","Okc","*","G","31.9","33","18.2","15.2","13.1","30","0.833","67","0.612","105","0.295","0.509","0.54","6.1","2.8","2.2","1.4","0.4","0.8","8.8","8.2","11","7.4","113.2","103.3"
"","Jaylin Williams","Okc","*","F","23.6","37","19.3","15.4","16","54","0.759","54","0.5","140","0.307","0.472","0.514","6.1","5.1","2.5","0.6","0.6","1","11.1","8.6","13.6","8.8","109","97.4"
"","Keon Ellis","Cle","*","G","26.1","1","18.5","13.4","16.7","0","0","1","0","4","0.5","0.6","0.6","6","3","0","2","0","1","9","6","9","0","94.2","108"
"","KJ Simpson","Cha","*","G","23.5","14","15.9","22.7","21.2","16","0.625","50","0.38","39","0.308","0.416","0.437","6","2.1","2.5","1.1","0","1.7","8.1","8.5","10.6","7.9","89.7","110.2"
"","Trendon Watford","Phi","*","G-F","25.2","29","15.6","16.8","17.8","38","0.711","109","0.541","25","0.4","0.552","0.581","6","3.3","2.6","0.3","0.3","1","9.4","8.7","12","9.5","119.3","105.4"
"","Spencer Jones","Den","*","F","24.7","46","23.6","9.8","11.7","45","0.622","80","0.638","116","0.414","0.628","0.635","6","3.1","0.8","0.9","0.4","0.6","9.1","6.8","9.9","4.2","127.4","109.3"
"","Ryan Dunn","Pho","*","F","23.1","45","19.6","14.4","14.8","28","0.643","136","0.537","111","0.324","0.514","0.524","6","4.2","1.6","0.9","0.4","1","10.2","7.6","11.8","7","112.1","105.4"
"","Nique Clifford","Sac","*","G","24","49","20.2","15.2","16.6","50","0.72","157","0.465","119","0.319","0.471","0.497","6","3","1.4","0.6","0.3","1.1","9","7.5","10.4","5.8","97.9","115.1"
"","Cody Williams","Uta","*","F","21.2","38","19.4","13.4","9.3","31","0.613","140","0.586","64","0.234","0.512","0.524","6","2.3","0.9","0.6","0.4","0.6","8.3","6.9","9.2","4.8","108.4","119.3"
"","Goga Bitadze","Orl","*","C-F","26.6","42","16","12.2","12.8","52","0.731","140","0.721","10","0.2","0.693","0.711","5.9","5","1.2","0.7","1.2","0.5","10.9","7","12.1","8.2","148.3","102.5"
"","Nick Smith Jr.","Lal","*","G","21.8","24","12.6","21.3","12.6","11","0.636","57","0.456","68","0.397","0.532","0.539","5.8","0.8","1.1","0.4","0.1","0.8","6.6","7","7.7","5.5","103.1","114.5"
"","Pat Spencer","Gol","*","G","29.6","36","14.4","19.2","18","30","0.833","117","0.419","65","0.431","0.5","0.53","5.8","2.2","2.9","0.6","0.1","1.1","7.9","8.7","10.8","9.3","112.7","110.9"
"","Josh Minott","Bos","*","F","23.2","33","15.9","13.8","12.8","26","0.769","59","0.593","77","0.442","0.632","0.651","5.8","3.6","1","0.7","0.4","0.6","9.4","6.8","10.4","6.9","133.4","105.7"
"","Dean Wade","Cle","*","F-C","29.2","43","22.8","9.8","6","36","0.75","54","0.63","150","0.34","0.542","0.564","5.8","4.1","1.6","0.8","0.4","0.3","9.9","7.3","11.5","5.9","127.6","110.9"
"","Steven Adams","Hou","*","C","32.6","32","22.8","12","20.1","81","0.58","139","0.504","0","0","0.504","0.535","5.8","8.6","1.5","0.7","0.6","1.1","14.5","7.3","16","7.4","124.8","107.8"
"","Aaron Holiday","Hou","*","G","29.4","35","13.3","17.6","11.5","33","0.848","53","0.434","108","0.389","0.534","0.57","5.7","0.9","1","0.5","0.1","0.6","6.6","6.7","7.5","5.2","118.7","108.6"
"","Jalen Pickett","Den","*","G","26.3","36","18.3","14.7","13.4","11","0.909","86","0.477","101","0.376","0.524","0.537","5.7","2.8","2.8","0.4","0.1","0.8","8.5","8.5","11.3","7.8","115.3","116.2"
"","Paul Reed","Det","*","F","26.7","36","12.1","18.9","18.6","37","0.595","126","0.635","23","0.348","0.617","0.623","5.7","4.3","1.2","0.8","0.6","0.9","10","6.9","11.2","10.2","122.7","96.9"
"","Sion James","Cha","*","G","23.2","52","24.2","10.8","15.6","76","0.855","101","0.406","142","0.352","0.477","0.537","5.7","3.5","1.9","0.6","0.3","0.9","9.2","7.6","11.1","5.6","114.1","111.6"
"","Marcus Sasser","Det","*","G","25.4","16","10.2","21.2","13.9","11","0.909","24","0.542","44","0.409","0.588","0.618","5.6","0.9","2","0.7","0.1","0.7","6.6","7.6","8.6","8.5","124.5","105.7"
"","Keon Ellis","Sac","","G","26.1","43","17.6","13.8","9.1","32","0.625","65","0.462","144","0.368","0.524","0.536","5.6","1.3","0.6","1.1","0.5","0.5","6.8","6.2","7.4","3.7","105.7","115.6"
"","Yves Missi","Nor","*","C","21.7","46","19.2","12.7","14.1","62","0.581","206","0.534","1","0","0.531","0.546","5.6","5.7","1.2","0.3","1.4","0.7","11.2","6.8","12.4","7","125.3","114.5"
"","Grant Williams","Cha","*","F","27.2","11","17.5","15.2","11","15","0.8","15","0.6","41","0.244","0.429","0.479","5.5","3.9","1","0.5","0.2","0.6","9.4","6.5","10.4","6.4","108.1","110.8"
"","Eric Gordon","Phi","*","G","37.1","6","12.3","14.3","12.4","2","0.5","7","0.571","14","0.571","0.762","0.754","5.5","0.3","0.5","0.7","0.2","0.5","5.8","6","6.3","3.1","130.3","117.5"
"","Jordan Walsh","Bos","*","G","21.9","46","18.3","11.6","11.6","44","0.773","101","0.624","82","0.378","0.598","0.625","5.5","4.3","0.8","0.8","0.5","0.5","9.8","6.3","10.6","5.8","132.9","102.4"
"","Oso Ighodaro","Pho","*","F","23.6","52","20.1","12.1","24.9","69","0.493","201","0.622","1","0","0.619","0.611","5.5","4.5","1.8","1","0.6","1.3","9.9","7.2","11.7","7.1","114.5","102.8"
"","Jalen Wilson","Bro","*","F","25.3","33","14.5","16.9","9.6","44","0.75","56","0.411","94","0.362","0.493","0.534","5.5","1.5","0.6","0.3","0.1","0.5","7","6.1","7.6","4.7","106.3","114.3"
"","Jevon Carter","Chi","*","G","30.4","23","11.1","19.7","9.6","10","1","25","0.36","78","0.41","0.553","0.577","5.4","1.1","0.8","0.6","0.1","0.5","6.5","6.2","7.3","6.1","111.1","114.2"
"","Olivier-Maxence Prosper","Mem","*","F","23.6","27","13","16.9","15.4","46","0.87","60","0.533","44","0.318","0.51","0.588","5.4","2.7","0.7","0.3","0.1","0.7","8.1","6.1","8.8","6.7","117.1","113.1"
"","Josh Okogie","Hou","*","G","27.4","50","20","11.4","13.6","55","0.6","98","0.5","118","0.398","0.553","0.566","5.4","2.9","0.9","0.9","0.2","0.7","8.3","6.4","9.2","4.8","119.7","109.7"
"","Asa Newell","Atl","*","F","20.3","36","11.2","17.5","12","25","0.56","75","0.667","64","0.406","0.64","0.64","5.3","2.1","0.5","0.4","0.4","0.5","7.4","5.8","7.9","6.3","120.8","106.5"
"","Garrison Mathews","Ind","*","G","29.3","15","13.1","14","5.4","23","0.826","6","0.667","46","0.37","0.567","0.628","5.2","1.1","0.7","0.4","0.2","0.2","6.3","5.9","7","4.8","128.5","112.7"
"","Tolu Smith","Det","*","F","25.5","5","10.9","19.4","20.7","15","0.8","15","0.467","0","0","0.467","0.602","5.2","5.6","0.8","0.4","1","0.8","10.8","6","11.6","10.5","128.6","94.2"
"","Julian Strawther","Den","*","G","23.8","29","12.2","18.8","11.4","46","0.804","65","0.538","51","0.294","0.496","0.558","5.2","1.9","1","0.4","0.1","0.5","7.1","6.2","8.1","7","112.4","112.4"
"","Johnny Furphy","Ind","*","G","21.2","34","18.5","12.8","16.1","35","0.486","75","0.6","71","0.324","0.545","0.545","5.2","4.4","1.1","0.6","0.2","0.8","9.6","6.3","10.7","6.3","106.7","109.1"
"","Gui Santos","Gol","*","F","23.6","41","13.6","15.2","19.3","33","0.636","60","0.717","90","0.389","0.637","0.644","5.2","2.6","1.3","0.6","0.3","0.9","7.8","6.5","9.1","7.6","118.6","106.2"
"","Thomas Bryant","Cle","*","C-F","28.5","36","10.1","17.9","10.5","32","0.813","64","0.688","64","0.359","0.613","0.644","5.1","2.8","0.6","0.2","0.4","0.4","7.9","5.7","8.4","8.1","128.9","105.2"
"","Jase Richardson","Orl","*","G","20.3","36","12","17.8","12.5","35","0.714","85","0.553","62","0.355","0.544","0.57","5.1","1.4","1.2","0.3","0.1","0.6","6.5","6.3","7.7","6.8","114.7","111.7"
"","Dylan Cardwell","Sac","*","C","24.1","26","20.4","10.4","18.4","36","0.556","92","0.609","1","0","0.602","0.606","5.1","7.4","1.1","0.7","1.7","0.8","12.5","6.2","13.5","6.8","132.4","102.1"
"","Drew Eubanks","Sac","*","F-C","29","31","13.7","15.6","18.3","43","0.558","107","0.617","4","0.25","0.608","0.612","5.1","2.7","0.3","0.4","0.6","0.8","7.8","5.4","8.1","4.7","109.1","114.2"
"","Taylor Hendricks","Mem","*","F","22.2","1","20.9","15.8","12.5","0","0","4","0.25","3","0.333","0.357","0.357","5","5","0","1","0","1","10","5","10","0","80.1","107.9"
"","Yuki Kawamura","Chi","*","G","24.8","4","19.1","13.1","18.7","6","1","4","0.25","13","0.308","0.412","0.509","5","4","5.5","1.3","0","1","9","10.5","14.5","10","127.3","113.3"
"","Patrick Baldwin Jr.","Lac","*","F","23.2","2","6.1","21.4","18.4","2","1","1","1","3","0.667","1","1.025","5","0.5","0","0","0","0.5","5.5","5","5.5","0","150.5","106.1"
"","Pete Nance","Mil","*","F","26","20","10.4","15.7","9.5","0","0","30","0.7","37","0.514","0.739","0.739","5","2","0.6","0.4","0.2","0.4","7","5.6","7.6","7","135.8","114.1"
"","Matisse Thybulle","Por","*","G-F","28.9","4","12.2","10.6","8.7","4","1","4","0.5","6","0.667","0.8","0.85","5","1","0.8","2.5","0","0.3","6","5.8","6.8","5.2","164.5","97.7"
"","Javon Small","Mem","*","G","23.1","18","13.8","19.2","19.6","19","0.737","44","0.386","42","0.333","0.442","0.477","5","1.9","3.3","0.3","0.1","1.2","6.9","8.3","10.2","9.1","105.6","110.7"
"","Tyler Kolek","Nyk","*","G","24.9","45","13.8","18.4","18.9","18","0.667","120","0.475","94","0.351","0.498","0.507","5","1.9","3.1","0.4","0.1","1.1","6.9","8.1","10","9","108.9","108.1"
"","Gary Payton II","Gol","*","G","33.2","47","12.7","16.9","17.2","14","0.571","136","0.64","56","0.304","0.586","0.588","5","3.1","1.5","0.5","0.3","0.9","8.1","6.4","9.6","9","116.5","103.3"
"","Noah Penda","Orl","*","G-F","21.1","35","14","16.7","16.8","37","0.622","86","0.453","62","0.387","0.507","0.527","4.9","3.8","1.2","0.6","0.4","0.9","8.7","6.1","9.9","8","111.4","106.3"
"","RayJ Dennis","Ind","","G","24.9","13","12.9","22.6","16.2","9","0.889","34","0.294","38","0.316","0.389","0.421","4.9","1.6","2","0.2","0.3","1.1","6.5","6.9","8.5","7.8","90.8","113.6"
"","Jett Howard","Orl","*","G","22.4","31","10.9","18.6","4.9","18","0.944","50","0.48","84","0.345","0.504","0.536","4.9","1.4","0.8","0.2","0.1","0.2","6.3","5.7","7.1","6.5","116.1","111.8"
"","Branden Carlson","Okc","*","C","26.7","34","11","17.3","8.4","17","0.529","71","0.662","59","0.356","0.604","0.604","4.9","2.6","0.6","0.2","0.5","0.4","7.5","5.4","8","7.2","120.8","102.9"
